Violation Id,Primary,Violation Number,Violation Date,Violation Item,Violation Item Description,Citation Number,Corrective Action,Inspection Number,Address,Zipcode,Battalion,Station Area,Fire Prevention District,Status,Close Date,Supervisor District,Neighborhood  District,X,Y
1710-022116COM01Y,Y,1710-0221,10/20/17,16COM01,fire command center features,,correct - no permit,337107,1333  Gough St,94109,4,38,4,abated,11/9/17,5,Japantown,37.78573381,-122.4256054
1710-022116EXT15,,1710-0221,10/20/17,16EXT15,extinguisher / required,,correct - no permit,337107,1333  Gough St,94109,4,38,4,abated,11/9/17,5,Japantown,37.78573381,-122.4256054
0508-0034390,,0508-0034,9/22/05,390,1001.5.1  fire alarms maintained,,,20636,2265  Mission St,94110,6,7,6,closed,10/5/09,9,Mission,37.76079618,-122.4189041
1710-022116EXT28,,1710-0221,10/20/17,16EXT28,aes forms,,correct - no permit,337107,1333  Gough St,94109,4,38,4,abated,11/9/17,5,Japantown,37.78573381,-122.4256054
0603-0200999,,0603-0200,3/30/06,999,other violations,,,22826,551  - 559 Haight St,94117,2,6,5,closed,4/13/06,5,Hayes Valley,37.77180528,-122.4313183
0606-0176999,,0606-0176,7/6/06,999,other violations,,,27316,1430  Larkin St,94109,1,41,01W,closed,9/21/06,3,Nob Hill,37.79126657,-122.4188374
0802-0074999,,0802-0074,2/19/08,999,other violations,,,,2847  Taylor St,94133,1,,01W,closed,2/19/08,3,North Beach,37.8090002,-122.416287
1001-007207EXI02,,1001-0072,1/11/10,07EXI02,exits / storage in pathway,,,80336,278  - 290 Post St,94108,1,1,01W,closed,2/3/10,3,Financial District/South Beach,37.78880952,-122.4065518
1710-022116STO05,,1710-0221,10/20/17,16STO05,storage / gas & electric meters,,correct - no permit,337107,1333  Gough St,94109,4,38,4,abated,11/9/17,5,Japantown,37.78573381,-122.4256054
1710-022316ALR12,,1710-0223,10/20/17,16ALR12,alarm system maintained,,,337116,726  Fillmore St,94117,2,5,02N,referred to hearing,11/13/17,5,Hayes Valley,37.77660511,-122.4310577
1710-022316SPR11Y,Y,1710-0223,10/20/17,16SPR11,sprinkler testing and maintenance,,,337116,726  Fillmore St,94117,2,5,02N,referred to hearing,11/13/17,5,Hayes Valley,37.77660511,-122.4310577
1709-022316PER01,,1709-0223,9/21/17,16PER01,permit / general,,correct - no permit,335826,340  Stockton St,94108,1,1,01W,abated,11/15/17,3,Financial District/South Beach,37.78915722,-122.4065717
1709-022316REC28,,1709-0223,9/21/17,16REC28,l-license and fire pump certificate,,correct - no permit,335826,340  Stockton St,94108,1,1,01W,abated,11/15/17,3,Financial District/South Beach,37.78915722,-122.4065717
1709-022316SPR08,,1709-0223,9/21/17,16SPR08,sprinkler / 5-year service,,correct - no permit,335826,340  Stockton St,94108,1,1,01W,abated,11/15/17,3,Financial District/South Beach,37.78915722,-122.4065717
1709-0223SFC16A,,1709-0223,9/21/17,SFC16A,2016 san francisco fire code,,correct - no permit,335826,340  Stockton St,94108,1,1,01W,abated,11/15/17,3,Financial District/South Beach,37.78915722,-122.4065717
1710-021216PER01,,1710-0212,10/20/17,16PER01,permit / general,,,,505  - 527 Montgomery St,94111,1,13,01N,abated,12/21/17,3,Chinatown,37.79398793,-122.4031427
1710-021816PER05Y,Y,1710-0218,10/20/17,16PER05,place of assembly/permits,,obtain permit,337099,211  Main St,94105,3,35,03S,abated,9/11/18,6,Financial District/South Beach,37.79059432,-122.3926991
1609-027113ALR12,,1609-0271,9/28/16,13ALR12,alarm system maintained,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1609-027113DOR08,,1609-0271,9/28/16,13DOR08,doors / latches,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1710-022916DOR02,,1710-0229,10/20/17,16DOR02,doors / blocked open,,obtain permit,337122,900  - 958 Bush St,94109,1,41,01W,referred to hearing,12/18/17,3,Nob Hill,37.78994512,-122.4127266
0503-0009916,,0503-0009,3/23/05,916,elect exten cord use 4 permnt use,,,14589,1288  - 1296 Hollister Ave,94124,10,44,10,closed,9/14/05,10,Bayview Hunters Point,37.72170188,-122.395606
0506-0134390,,0506-0134,7/12/05,390,1001.5.1  fire alarms maintained,,,14234,3141  - 3143 16th St,94110,2,7,02S,closed,11/10/05,8,Mission,37.76463135,-122.4229734
0506-0150999,,0506-0150,9/16/05,999,other violations,,,14671,39  - 41 Jones St,94102,2,1,02N,closed,11/18/05,6,Tenderloin,37.78163259,-122.4124232
0708-0266998Y,Y,0708-0266,8/27/07,998,other violations/,,,,650  Alvarado St,94114,6,24,6,closed,1/4/08,8,Noe Valley,37.7539066,-122.4355121
0708-0267391Y,Y,0708-0267,8/27/07,391,sffc 1001.5.1.3  fire systems certified,,correct - no permit,43652,428  - 430 Burnett Ave,94131,6,24,6,closed,9/24/13,8,Twin Peaks,37.75490726,-122.4443856
0708-0268999Y,Y,0708-0268,8/28/07,999,other violations,,correct - no permit,43615,124  Mason St,94102,3,1,03W,closed,9/15/11,3,Tenderloin,37.78473772,-122.4091485
0708-0272705Y,Y,0708-0272,8/28/07,705,105.8  operating without fd permit,,,,1030  Quesada Ave,94124,10,17,10,closed,12/5/07,10,Bayview Hunters Point,37.72650138,-122.3788593
0708-0272999,,0708-0272,8/28/07,999,other violations,,,,1030  Quesada Ave,94124,10,17,10,closed,12/5/07,10,Bayview Hunters Point,37.72650138,-122.3788593
0708-0277391Y,Y,0708-0277,8/29/07,391,sffc 1001.5.1.3  fire systems certified,,,,1618  - 1632 Mason St,94133,1,2,01N,closed,6/3/09,3,Chinatown,37.798634,-122.4120276
0708-0278467Y,Y,0708-0278,8/29/07,467,103.4.1.1  fire hazard cause or increase,,,,1367  De Haro St,94107,10,37,10,closed,9/13/07,10,Potrero Hill,37.752547,-122.4003505
1609-027113REC28,,1609-0271,9/28/16,13REC28,l-license and fire pump certificate,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1609-027113SIG34,,1609-0271,9/28/16,13SIG34,signs / evacuation plans,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1609-027113SPR08,,1609-0271,9/28/16,13SPR08,sprinkler / 5-year service,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1609-027113STO08,,1609-0271,9/28/16,13STO08,storage / no combustibles allowed,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1609-0271SFC13A,,1609-0271,9/28/16,SFC13A,2013 san francisco fire code,,obtain permit,294265,340  Stockton St,94108,1,1,01W,referred to hearing,10/20/17,3,Financial District/South Beach,37.78915722,-122.4065717
1708-0118SFC16AY,Y,1708-0118,8/4/17,SFC16A,2016 san francisco fire code,,correct - no permit,333869,428  11th St,94103,2,29,02S,abated,10/20/17,6,Mission,37.76977749,-122.4118967
1708-0118SFC16B,,1708-0118,8/4/17,SFC16B,2016 san francisco fire code,,correct - no permit,333869,428  11th St,94103,2,29,02S,abated,10/20/17,6,Mission,37.76977749,-122.4118967
1708-031516COM01,,1708-0315,8/25/17,16COM01,fire command center features,,,,999  Green St,94133,1,2,01W,abated,10/20/17,3,Nob Hill,37.79844665,-122.4152177
1708-031516EXI02,,1708-0315,8/25/17,16EXI02,exits / storage in pathway,,,,999  Green St,94133,1,2,01W,abated,10/20/17,3,Nob Hill,37.79844665,-122.4152177
1708-031516REC22,,1708-0315,8/25/17,16REC22,records / facility emergency plan,,,,999  Green St,94133,1,2,01W,abated,10/20/17,3,Nob Hill,37.79844665,-122.4152177
1708-031516REC29Y,Y,1708-0315,8/25/17,16REC29,test and maintenance documentation,,,,999  Green St,94133,1,2,01W,abated,10/20/17,3,Nob Hill,37.79844665,-122.4152177
1708-031516SPR01,,1708-0315,8/25/17,16SPR01,sprinkler / obstructions,,,,999  Green St,94133,1,2,01W,abated,10/20/17,3,Nob Hill,37.79844665,-122.4152177
1709-008816ALR12,,1709-0088,9/8/17,16ALR12,alarm system maintained,,,,54  - 68 04th St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78486338,-122.4051349
1709-008816KEY02Y,Y,1709-0088,9/8/17,16KEY02,keys provided per fire marshal,,,,54  - 68 04th St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78486338,-122.4051349
0505-0043361,,0505-0043,7/29/05,361,1001.5.1  extinguishers maintn yrly/after use,,correct - no permit,13912,360  06th Ave,94118,7,31,7,closed,10/11/05,1,Inner Richmond,37.78184324,-122.4640143
0505-0077620,,0505-0077,9/30/05,620,1103.2.1.4  no metal contain w/lids-rubish,,,,992  - 998 Valencia St,94110,6,7,6,closed,11/14/06,8,Mission,37.75704012,-122.4214313
1006-005107PER01,,1006-0051,6/9/10,07PER01,permit / general,,,84944,1603  Montgomery St,94111,1,28,01N,closed,6/29/10,3,Financial District/South Beach,37.8043545,-122.4049468
1006-006007EXT04,,1006-0060,6/11/10,07EXT04,extinguisher / service required,,,85010,631  - 641 Jackson St,94108,1,2,01N,closed,6/11/10,3,Chinatown,37.79595665,-122.4057469
1006-006007ILL14,,1006-0060,6/11/10,07ILL14,illumination / exit sign visibility impaired,,,85010,631  - 641 Jackson St,94108,1,2,01N,closed,6/11/10,3,Chinatown,37.79595665,-122.4057469
1006-007507SIG06,,1006-0075,6/15/10,07SIG06,signs / occupant load,,obtain permit,85092,1250  Jones St,94108,1,41,01W,closed,11/8/10,3,Nob Hill,37.79307134,-122.4140487
1007-009507EXT04,,1007-0095,7/15/10,07EXT04,extinguisher / service required,,,,1  Ferry Building,94111,1,35,03N,closed,7/15/10,3,Financial District/South Beach,37.795764,-122.393413
1007-010107PER01,,1007-0101,7/18/10,07PER01,permit / general,,,89512,80  Grove St,94102,2,36,02N,closed,7/22/10,6,Tenderloin,37.7785792,-122.4176249
1709-008816REC29,,1709-0088,9/8/17,16REC29,test and maintenance documentation,,,,54  - 68 04th St,94103,3,1,03N,abated,10/20/17,6,South of Market,37.78486338,-122.4051349
1710-018816ELE05,,1710-0188,10/17/17,16ELE05,electrical / extension cords,,correct - no permit,336936,850  Powell St,94108,1,2,01N,referred to hearing,11/3/17,3,Chinatown,37.79285775,-122.4089401
1710-018816EXI10,,1710-0188,10/17/17,16EXI10,exits / dispersal area,,correct - no permit,336936,850  Powell St,94108,1,2,01N,referred to hearing,11/3/17,3,Chinatown,37.79285775,-122.4089401
1710-018816KEY02,,1710-0188,10/17/17,16KEY02,keys provided per fire marshal,,correct - no permit,336936,850  Powell St,94108,1,2,01N,referred to hearing,11/3/17,3,Chinatown,37.79285775,-122.4089401
1710-018816REC20Y,Y,1710-0188,10/17/17,16REC20,records / ul certificate,,correct - no permit,336936,850  Powell St,94108,1,2,01N,referred to hearing,11/3/17,3,Chinatown,37.79285775,-122.4089401
1709-022316REC16Y,Y,1709-0223,9/21/17,16REC16,records / sffd binder for review for 5 years,,correct - no permit,335826,340  Stockton St,94108,1,1,01W,abated,11/15/17,3,Financial District/South Beach,37.78915722,-122.4065717
